Major Code,Major Minor Desc,Cip Code,Major Minor Intrnl,Major Minor Both,Begin Dte,End Dte,Perkins Prog,Degr Code,Requires English,Teach Eligible,Institut Division Code,Goid,Gainful Employment,Med Dent Int Res,Part Of Teacher Prep Program,Idd Support Program,Ministry Related,Approwversion,User Name,Job Name,Job Time
CHE,Chemistry,400599,Y,M,,2020-07-31 19:00:00.000,N,BS,Y,N,S,152094,N,N,N,N,N,7654320341,GMITCHELL,w_def_major_minor,2024-06-07 07:18:59.733,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
CHEMN,Chemistry Minor,400599,Y,N,,,N,,Y,N,S,152095,N,N,N,N,N,7472787443,VVALENTINE,w_def_major_minor,2010-10-15 07:36:21.670,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
CIS,Computer Information Systems,521201,Y,M,,2010-12-14 18:00:00.000,N,,Y,N,B,152096,N,N,N,N,N,7472787444,lklander,w_def_major_minor,2015-10-14 04:26:12.900,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
CISMN,Computer Information Systems Minor,521201,Y,N,,,N,,Y,N,B,152097,N,N,N,N,N,7472787445,VVALENTINE,w_def_major_minor,2010-10-15 07:36:21.670,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
CJADM,Criminal Justice: Criminal Justice Administration,430103,Y,M,,,N,,Y,N,SH,152098,N,N,N,N,N,7472787446,VVALENTINE,w_def_major_minor,2010-10-15 07:45:18.016,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
CRJA,Criminal Justice Administration,430103,N,M,,2010-09-11 19:00:00.000,N,,Y,N,,152099,N,N,N,N,N,7472787447,tculberson,w_def_major_minor,2018-07-19 09:50:38.476,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
CRJMN,Criminal Justice Minor,,Y,N,,,N,,Y,N,SH,152100,N,N,N,N,N,7472787448,tculberson,w_def_major_minor,2013-09-16 05:18:30.423,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
CRJU,Criminal Justice,430107,Y,M,,,N,,Y,N,SH,152101,N,N,N,N,N,7472787449,LESTES,w_def_major_minor,2013-02-21 05:45:59.676,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
CRMAA,Criminal Justice Associates Degree,430107,Y,M,,,N,,Y,N,SH,152102,N,N,N,N,N,7472787450,DTENNISON,w_def_major_minor,2014-03-25 10:58:51.696,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
CSC,Computer Science,,N,M,,2010-09-11 19:00:00.000,N,,Y,N,,152103,N,N,N,N,N,7472787451,LESTES,w_def_major_minor,2012-10-24 05:46:49.376,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
CSCMN,Computer Science Minor,,N,N,,2010-09-11 19:00:00.000,N,,Y,N,,152104,N,N,N,N,N,7472787452,LESTES,w_def_major_minor,2012-10-24 05:46:49.376,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
ECE,Early Childhood-4 Education,,N,M,,2010-09-11 19:00:00.000,N,,Y,N,,152105,N,N,N,N,N,7472787453,lklander,w_def_major_minor,2017-04-20 12:31:12.486,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
ECH,Early Childhood Education,131210,Y,M,,,N,BA,Y,N,E,152106,N,N,N,N,N,7472787454,lklander,w_def_major_minor,2016-08-29 09:52:18.840,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
EDMU,Music Education(all-levels),131312,Y,M,,,N,,Y,N,E,152107,N,N,N,N,N,7472787455,GMITCHELL,w_def_major_minor,2022-12-01 05:22:07.846,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
ELED,Elementary Education,131202,Y,M,,,N,,Y,N,,152108,N,N,N,N,N,7974637711,GMITCHELL,w_def_major_minor,2025-08-06 09:53:31.313,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
ENG,English,230101,Y,M,,,N,,Y,N,SH,152109,N,N,N,N,N,7472787458,VVALENTINE,w_def_major_minor,2010-10-15 07:45:18.016,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
ENGMN,English Minor,230101,Y,N,,,N,,Y,N,SH,152110,N,N,N,N,N,7472787459,VVALENTINE,w_def_major_minor,2010-10-15 07:45:18.016,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
GER,Gerontology,,N,M,,2010-09-11 19:00:00.000,N,,Y,N,,152111,N,N,N,N,N,7472787460,VVALENTINE,w_def_major_minor,2010-09-13 12:47:45.233,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
HIS,History,540101,Y,M,2012-10-23 19:00:00.000,,N,,Y,N,SH,152112,N,N,N,N,N,7472787461,LESTES,w_def_major_minor,2012-10-24 05:50:06.243,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
HISMN,History Minor,450801,Y,N,,,N,,Y,N,SH,152113,N,N,N,N,N,7472787462,LESTES,w_def_major_minor,2012-10-24 05:49:02.516,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
HRM,Hotel & Restaurant Management,,N,M,,2010-09-11 19:00:00.000,N,,Y,N,,152114,N,N,N,N,N,7472787463,LESTES,w_def_major_minor,2012-10-24 05:46:49.376,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
HRMMN,Hotel & Rest. Mgt. Minor,,N,N,,2010-09-11 19:00:00.000,N,,Y,N,,152115,N,N,N,N,N,7472787464,LESTES,w_def_major_minor,2012-10-24 05:46:49.376,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
HTA,Hospitality & Tourism Administration,520901,Y,M,,2010-10-14 19:00:00.000,N,,Y,N,B,152116,N,N,N,N,N,7472787465,VVALENTINE,w_def_major_minor,2010-10-15 07:45:18.016,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
